1980-2024 Billion-Dollar Disasters Cost (in $Millions) By State (CPI-Adjusted)
state,"drought","flooding","freeze","severe storm","tropical cyclone","wildfire","winter storm"
AK,0.0,0.0,0.0,0.0,0.0,2343.6,0.0
AL,6914.6,137.3,151.9,14645.2,26991.0,733.3,2420.5
AR,6784.1,4698.1,297.0,11891.5,719.8,0.0,1358.3
AZ,1514.5,1915.8,0.0,5472.0,0.0,1353.5,0.0
CA,16532.3,19172.1,15443.0,3518.8,0.0,99867.4,0.0
CO,7128.5,2067.0,104.7,33206.1,0.0,7224.4,418.9
CT,13.3,608.1,41.9,907.2,6001.6,0.0,3142.8
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,886.0,34.5,12.6,285.3,1033.9,0.0,931.5
FL,1527.8,2931.8,13874.6,6630.0,371440.0,305.7,4009.9
GA,8320.2,1418.2,1310.6,13080.0,20022.2,294.8,2907.1
GU,0.0,0.0,0.0,0.0,4377.5,0.0,0.0
HI,0.0,0.0,0.0,0.0,6913.0,5665.0,0.0
IA,16411.3,24476.4,77.4,22953.5,0.0,0.0,235.8
ID,3524.5,586.3,12.6,0.0,0.0,3549.5,0.0
IL,17473.9,10088.2,429.8,28687.3,1082.4,0.0,2577.3
IN,8780.4,5518.0,233.5,15668.5,1123.5,0.0,796.6
KS,25918.8,3658.4,175.1,13945.8,0.0,0.0,205.5
KY,7877.5,960.8,254.2,16505.4,1317.1,0.0,1582.6
LA,7011.4,21509.0,209.3,12908.0,268710.6,0.0,2310.4
MA,20.0,1310.2,50.2,877.6,3677.4,0.0,5173.0
MD,3384.8,344.3,33.5,3757.5,6520.9,0.0,3134.4
ME,13.3,597.5,0.0,243.1,142.9,0.0,1623.0
MI,3291.0,3299.0,50.2,7092.0,115.0,0.0,675.9
MN,10222.0,6123.4,54.4,24853.3,0.0,100.4,226.0
MO,12504.4,16261.3,652.5,29221.4,560.9,0.0,927.9
MS,8862.2,3747.0,129.2,6988.2,61630.0,43.2,4799.4
MT,13492.7,357.0,12.6,1276.3,0.0,3462.4,0.0
NC,10447.4,105.7,311.5,8722.9,68880.0,90.5,2450.9
ND,23976.0,9733.1,12.6,414.5,0.0,13.2,38.7
NE,17265.1,5231.3,86.7,16216.1,0.0,58.1,42.4
NH,13.3,71.9,0.0,163.2,462.6,0.0,1628.6
NJ,501.5,1347.7,50.2,4159.9,53292.8,0.0,5698.7
NM,3382.6,0.0,0.0,1059.6,304.6,4426.7,0.0
NV,444.4,1089.0,0.0,62.8,0.0,1245.3,45.6
NY,631.1,2341.1,71.2,4932.5,68689.2,0.0,7972.0
OH,6391.2,1389.9,416.1,18836.6,3560.7,0.0,1790.7
OK,13072.6,2595.5,626.2,27292.4,0.0,347.6,1066.1
OR,4447.0,1655.3,138.1,107.0,0.0,5904.0,1477.9
PA,2516.0,1346.4,104.7,9654.3,12064.1,0.0,4010.2
PR,0.0,0.0,0.0,0.0,126263.1,0.0,0.0
RI,13.3,238.8,8.4,224.0,1352.8,0.0,1127.2
SC,4326.4,2592.0,651.7,5130.8,24733.6,0.0,1557.3
SD,14695.8,5535.1,25.1,2289.5,0.0,108.4,0.0
TN,7369.5,3967.7,195.2,23508.0,1316.5,1834.0,2841.8
TX,42703.0,15287.8,563.5,98063.8,247748.9,3154.6,26495.9
US,361548.6,201437.2,37217.4,512135.6,1424931.8,147665.1,104243.0
UT,527.9,1605.0,12.6,28.8,0.0,1404.9,0.0
VA,4731.6,2293.0,91.3,4015.1,10813.5,0.0,3130.2
VI,0.0,0.0,0.0,0.0,21061.7,0.0,0.0
VT,13.3,952.8,0.0,184.8,1173.4,0.0,1197.8
WA,4683.3,1098.8,113.0,68.5,0.0,3030.5,1081.2
WI,5852.7,6291.7,50.2,9781.0,0.0,0.0,251.7
WV,2318.3,2847.9,69.9,1155.8,834.6,0.0,881.3
WY,2815.8,0.0,8.4,1449.7,0.0,1104.1,0.0
